cell_line	drugcombo	mean.bliss.estimate	p.value	conf.int.low	conf.int.high	p.value.bonferroni
A498	5Z	NA	NA	NA	NA	NA
SW-620	5Z	NA	NA	NA	NA	NA
AGS	5Z	NA	NA	NA	NA	NA
DU-145	5Z	NA	NA	NA	NA	NA
UACC-62	5Z	NA	NA	NA	NA	NA
SF-295	5Z	NA	NA	NA	NA	NA
COLO 205	5Z	NA	NA	NA	NA	NA
MDA-MB-468	5Z	NA	NA	NA	NA	NA
UACC-62	5Z D1	-0.0942872341245751	2.5438090031576e-05	-0.134230636555006	-0.0543438316941437	0.0347993071631959
SF-295	5Z D1	0.00989206538537798	0.390904530709203	-0.0131691450592026	0.0329532758299586	1
COLO 205	5Z D1	-0.11123797007152	1.94443137333142e-06	-0.151515736565076	-0.0709602035779632	0.00265998211871739
MDA-MB-468	5Z D1	0.00260596061423666	0.93870856802725	-0.0719511702186411	0.0771630914471144	1
A498	AK D1	-0.0803802585597444	0.00343603608252872	-0.132563102124927	-0.028197414994562	1
SW-620	AK D1	-0.0644780827990197	0.0104397598703891	-0.112945614052784	-0.0160105515452556	1
AGS	AK D1	-0.122113372645582	0.00715550726100077	-0.208419892931892	-0.035806852359273	1
DU-145	AK D1	-0.0535362819821127	0.000251178113852058	-0.0804140758235364	-0.0266584881406891	0.343611659749616
UACC-62	AK D1	-0.0716629831543408	0.00470421314506663	-0.120003111357861	-0.0233228549508206	1
SF-295	AK D1	-0.058373744647676	0.0421768939058311	-0.114578197391453	-0.00216929190389858	1
COLO 205	AK D1	-0.0743021801583429	0.0176334441531132	-0.134943631965586	-0.0136607283510997	1
MDA-MB-468	AK D1	0.0229020716129481	0.332186096783348	-0.027649386156189	0.0734535293820853	1
A498	BI D1	-0.0104076441500108	0.287285077736663	-0.0299206265296249	0.0091053382296034	1
SW-620	BI D1	-0.0881045757638788	0.00204484572292988	-0.14202842767421	-0.0341807238535474	1
AGS	BI D1	-0.0841612754213811	0.0019002871024929	-0.134552479965198	-0.0337700708775641	1
DU-145	BI D1	-0.0188752249107405	0.0757995374387428	-0.0398049233356421	0.00205447351416109	1
UACC-62	BI D1	-0.0647583629515403	0.00249797753309304	-0.105280541839665	-0.0242361840634152	1
SF-295	BI D1	0.00506868528692026	0.470745147765447	-0.0090073267312336	0.0191446973050741	1
COLO 205	BI D1	-0.00917993339677359	0.363586099692539	-0.0293779330160089	0.0110180662224618	1
MDA-MB-468	BI D1	0.0392931333605394	0.26420712115078	-0.0353546253718443	0.113940892092923	1
A498	CT D1	0.0754777839420146	3.56541373434578e-06	0.0471854725801133	0.103770095303916	0.00487748598858503
SW-620	CT D1	-0.10972901222667	0.00682673420948495	-0.187417683036141	-0.0320403414171985	1
AGS	CT D1	-0.00090250475472745	0.959857827400294	-0.0372600564389524	0.0354550469294975	1
DU-145	CT D1	-0.0246832304210328	0.0760368027312698	-0.0520761869317762	0.00270972608971053	1
UACC-62	CT D1	0.00291355466822545	0.77738125742681	-0.0177862894316765	0.0236133987681274	1
SF-295	CT D1	0.0847735257088598	2.49906843260417e-07	0.0572407582277155	0.112306293190004	0.00034187256158025
COLO 205	CT D1	0.0586201033085898	8.6112895487368e-12	0.0462375647102798	0.0710026419068997	1.17802441026719e-08
MDA-MB-468	CT D1	-0.0355295138001562	0.329317976121383	-0.113463725978802	0.0424046983784897	1
A498	PD D1	-0.0180373961735897	0.514467596779159	-0.0734928009257051	0.0374180085785256	1
SW-620	PD D1	0.0233434282591379	0.000114583387172509	0.0123327857694883	0.0343540707487875	0.156750073651993
AGS	PD D1	-0.00239573202644973	0.839792561724886	-0.0264166281583345	0.021625164105435	1
DU-145	PD D1	0.103344715837984	3.10299002454882e-10	0.0783563072900145	0.128333124385954	4.24489035358279e-07
UACC-62	PD D1	0.0105127050712412	0.273904002212459	-0.00864837373143615	0.0296737838739186	1
SF-295	PD D1	0.0757871890830229	1.84822385629792e-06	0.048423512286742	0.103150865879304	0.00252837023541555
COLO 205	PD D1	-0.037916484245687	7.39826598627461e-06	-0.05276107389645	-0.0230718945949238	0.0101208278692237
MDA-MB-468	PD D1	-0.0195295304919087	0.361051341118382	-0.0654404041288968	0.0263813431450794	1
A498	PI D1	-0.0927179498019612	0.00158757041291646	-0.147952311463008	-0.037483588140914	1
SW-620	PI D1	-0.136450817972409	1.77088183275837e-10	-0.168728233788647	-0.10417340215617	2.42256634721345e-07
AGS	PI D1	-0.181332045462601	3.77904394911529e-08	-0.231476002788492	-0.131188088136711	5.16973212238971e-05
DU-145	PI D1	-0.149461360324284	7.9031132922876e-10	-0.186975071904045	-0.111947648744524	1.08114589838494e-06
UACC-62	PI D1	-0.151187102636037	8.36114760418232e-06	-0.210823699366104	-0.0915505059059699	0.0114380499225214
SF-295	PI D1	-0.129970668182384	2.95873541077154e-06	-0.17816644427524	-0.0817748920895276	0.00404755004193547
COLO 205	PI D1	-0.0736630467503703	0.000131877472536369	-0.108786165389198	-0.0385399281115426	0.180408382429753
MDA-MB-468	PI D1	-0.13048059024964	0.0174279081981196	-0.232056780261354	-0.0289044002379265	1
A498	PK D1	0.0400331344816259	0.0066358970037585	0.0117972928859915	0.0682689760772604	1
SW-620	PK D1	0.0345790926012977	0.00184345956849448	0.0136508090226525	0.055507376179943	1
AGS	PK D1	0.0468332890404662	0.00155912243129898	0.0193990966457163	0.0742674814352162	1
DU-145	PK D1	0.032067958660914	0.0448923791933329	0.000768034303106253	0.0633678830187218	1
UACC-62	PK D1	0.048432690218255	0.0136140719206526	0.0105262767913883	0.0863391036451216	1
SF-295	PK D1	0.0381658573168034	0.0049167076200269	0.0122774943762428	0.0640542202573639	1
COLO 205	PK D1	0.0805819544072031	0.0086284237042227	0.0216540986413125	0.139509810173094	1
MDA-MB-468	PK D1	0.069852360165576	0.0714324016723019	-0.00749799804643029	0.147202718377582	1
A498	JN D1	-0.0196752741912368	0.142696595496375	-0.0462771154171877	0.00692656703471411	1
SW-620	JN D1	-0.113519577486814	0.000441047745613893	-0.173322324924006	-0.0537168300496216	0.603353315999806
AGS	JN D1	-0.0815344478443756	0.000111353591875473	-0.118868717578387	-0.0442001781103637	0.152331713685647
DU-145	JN D1	-0.0881939627485108	8.49186533249829e-06	-0.123015827893668	-0.053372097603354	0.0116168717748577
UACC-62	JN D1	-0.105561323484534	6.47087983959621e-06	-0.14655433298725	-0.0645683139818178	0.00885216362056761
SF-295	JN D1	-0.0581404015355581	0.000937486303839565	-0.0909839539649363	-0.0252968491061799	1
COLO 205	JN D1	-0.0177988720365451	0.134828027865435	-0.0413753682028214	0.00577762412973121	1
MDA-MB-468	JN D1	-0.133630054057188	0.00104522975718604	-0.19728001878603	-0.0699800893283469	1
A498	60	NA	NA	NA	NA	NA
SW-620	60	NA	NA	NA	NA	NA
AGS	60	NA	NA	NA	NA	NA
DU-145	60	NA	NA	NA	NA	NA
UACC-62	60	NA	NA	NA	NA	NA
SF-295	60	NA	NA	NA	NA	NA
COLO 205	60	NA	NA	NA	NA	NA
MDA-MB-468	60	NA	NA	NA	NA	NA
A498	5Z 60	-0.0124409970068359	0.207898437600502	-0.0320914064202148	0.00720941240654309	1
SW-620	5Z 60	-0.0240600768816637	0.00108845488246345	-0.0378523671625924	-0.0102677866007351	1
AGS	5Z 60	-0.00729145146229633	0.56377735598473	-0.0328296229119076	0.0182467199873149	1
DU-145	5Z 60	-0.0345481900640844	0.0147336898126066	-0.0619282905049551	-0.00716808962321376	1
UACC-62	5Z 60	-0.0405097124721218	0.0010136706800887	-0.0635690498304768	-0.0174503751137668	1
SF-295	5Z 60	-0.0153275627269864	0.134169445855151	-0.0355952569096205	0.00494013145564783	1
COLO 205	5Z 60	-0.0557382411212652	1.68134544195449e-07	-0.0734873341159608	-0.0379891481265696	0.000230008056459374
MDA-MB-468	5Z 60	-0.0233197894724483	0.170046373389039	-0.0586909162101402	0.0120513372652435	1
A498	AK 60	-0.0938129793551247	0.000709367986083645	-0.14541673677831	-0.0422092219319397	0.970415404962427
SW-620	AK 60	-0.0376231003083648	0.00111717531309204	-0.059246206892343	-0.0159999937243866	1
AGS	AK 60	-0.0646148973637874	0.0624464358401519	-0.132813819866697	0.00358402513912214	1
DU-145	AK 60	-0.0212011669355725	0.219846713814065	-0.0555913440740569	0.0131890102029119	1
UACC-62	AK 60	-0.0561362647888468	0.0102689233303128	-0.0982309428257223	-0.0140415867519714	1
SF-295	AK 60	-0.0545168577693453	0.0169399239381886	-0.0987145135373922	-0.0103192020012984	1
COLO 205	AK 60	-0.135805761104927	1.14580136511924e-05	-0.190436461904934	-0.0811750603049207	0.0156745626748311
MDA-MB-468	AK 60	-0.0513248413925322	0.075509707761905	-0.109131390033318	0.00648170724825329	1
A498	BI 60	0.0133464389864011	0.103080591491346	-0.00282609353539267	0.0295189715081949	1
SW-620	BI 60	0.033918941024983	2.24815642010956e-05	0.0196673854195006	0.0481704966304655	0.0307547798270988
AGS	BI 60	0.100984692177374	0.00075910408935534	0.048197540634719	0.153771843720028	1
DU-145	BI 60	0.0252603291656387	0.00139287213425007	0.0106426461143126	0.0398780122169649	1
UACC-62	BI 60	0.0216682805847838	0.00510855574799533	0.0068988417962368	0.0364377193733307	1
SF-295	BI 60	0.0288428783153477	0.000365193901031036	0.0138966928091837	0.0437890638215118	0.499585256610458
COLO 205	BI 60	-0.0256228000150442	0.00218984916283209	-0.041423105802251	-0.00982249422783743	1
MDA-MB-468	BI 60	0.0248457352609766	0.216951118068115	-0.0174853837947606	0.0671768543167138	1
A498	CT 60	0.077267943338315	2.23446306731204e-10	0.0588239667916853	0.0957119198849446	3.05674547608288e-07
SW-620	CT 60	0.0673169583267333	5.51447480426787e-05	0.0372334471679205	0.0974004694855461	0.0754380153223844
AGS	CT 60	0.152837111466706	1.02709958701287e-06	0.107498605330189	0.198175617603223	0.00140507223503361
DU-145	CT 60	0.0338945692447878	0.00573549382469386	0.010656429328046	0.0571327091615295	1
UACC-62	CT 60	0.078037501719323	3.89156859546436e-07	0.052115880336464	0.103959123102182	0.000532366583859525
SF-295	CT 60	0.0888144649724471	1.23183632763673e-08	0.0637788643312793	0.113850065613615	1.68515209620705e-05
COLO 205	CT 60	0.0525342995305744	1.85009448998292e-06	0.0335652244184724	0.0715033746426764	0.00253092926229664
MDA-MB-468	CT 60	0.0404221904709976	0.116181478025052	-0.0121850818778968	0.0930294628198921	1
A498	PD 60	-0.0313411957639154	0.103386294818677	-0.0693537218454099	0.00667133031757904	1
SW-620	PD 60	0.0391020973919754	9.94233956254153e-07	0.0254564536071331	0.0527477411768177	0.00136011205215568
AGS	PD 60	0.0348297232055549	0.000154366257949226	0.0193338543737318	0.0503255920373781	0.211173040874541
DU-145	PD 60	0.0450295542024867	0.000201707483321342	0.0233640178857367	0.0666950905192367	0.275935837183596
UACC-62	PD 60	0.00163161896453529	0.856491457128202	-0.0164973407452534	0.0197605786743239	1
SF-295	PD 60	0.0803540399121194	3.0607979464286e-06	0.0504988901272032	0.110209189697036	0.00418717159071432
COLO 205	PD 60	0.0254114745896589	0.000945951128225412	0.0110439608937366	0.0397789882855812	1
MDA-MB-468	PD 60	0.0625599636881588	0.00267254642829357	0.028051533470042	0.0970683939062756	1
A498	PI 60	0.000825053259500459	0.943953690371854	-0.0227606804275685	0.0244107869465694	1
SW-620	PI 60	-0.0112072623863072	0.155254840682343	-0.0268487597194719	0.00443423494685754	1
AGS	PI 60	0.00653426922007841	0.489378664107514	-0.0128655477168225	0.0259340861569793	1
DU-145	PI 60	-0.0383771165442158	0.00454389940465846	-0.0638931119771448	-0.0128611211112867	1
UACC-62	PI 60	-0.0250910303195698	0.167872969110099	-0.0612074573640587	0.0110253967249191	1
SF-295	PI 60	-0.0495416115669885	0.00599291641288566	-0.0840145699558509	-0.0150686531781262	1
COLO 205	PI 60	0.005813235088995	0.25436696947598	-0.00435081992301138	0.0159772901010014	1
MDA-MB-468	PI 60	-0.0611519996368997	0.193797224430784	-0.159663196586227	0.0373591973124273	1
A498	PK 60	0.0484018726625944	0.00156098004636245	0.019618589954093	0.0771851553710958	1
SW-620	PK 60	0.0394657879840532	0.000169444338254342	0.0202746021325503	0.0586569738355561	0.23179985473194
AGS	PK 60	0.0478344815164892	0.00265798579104923	0.0188491884426713	0.0768197745903072	1
DU-145	PK 60	0.0549835716556161	0.0612827618527034	-0.00277521762615449	0.112742360937387	1
UACC-62	PK 60	0.0631827731343138	0.0145172453401993	0.0132273528922471	0.11313819337638	1
SF-295	PK 60	0.0436167048750133	0.00834300907574718	0.0118716669392612	0.0753617428107654	1
COLO 205	PK 60	0.0912429945527928	0.0060677655521659	0.0276488855812704	0.154837103524315	1
MDA-MB-468	PK 60	0.079463369829061	0.0448256887762408	0.00227825560054219	0.15664848405758	1
A498	JN 60	0.0279028572367198	0.0107085848596678	0.00684952094020556	0.048956193533234	1
SW-620	JN 60	0.0288855949371801	0.00356236926791921	0.0100523679272443	0.0477188219471158	1
AGS	JN 60	0.0783557823710071	7.67717207835344e-07	0.0555878201692752	0.101123744572739	0.00105023714031875
DU-145	JN 60	-0.0240085373068051	0.0838469381235445	-0.0514352800453897	0.00341820543177954	1
UACC-62	JN 60	0.0238963619197894	0.0263473910446305	0.00296045404358617	0.0448322697959927	1
SF-295	JN 60	-0.00336236998034131	0.75678507217943	-0.0251682094059807	0.0184434694452981	1
COLO 205	JN 60	-0.00438624670943045	0.721466535726654	-0.0290933785893613	0.0203208851705004	1
MDA-MB-468	JN 60	-0.0326643025962682	0.315609626364449	-0.10219791101848	0.0368693058259438	1
A498	D1 60	-0.0170714025414018	0.259093262444978	-0.0472226990619257	0.0130798939791222	1
SW-620	D1 60	-0.0608326928681292	0.000264755262563872	-0.0915074723913685	-0.0301579133448898	0.362185199187377
AGS	D1 60	-0.035111027432952	0.111888331829524	-0.0791917878841509	0.00896973301824694	1
DU-145	D1 60	-0.0421758831725108	0.0171422684865489	-0.0762865714625219	-0.00806519488249973	1
UACC-62	D1 60	-0.00674816948101897	0.626867413858477	-0.0346032599575211	0.0211069209954831	1
SF-295	D1 60	-0.00635886230029898	0.619375400754962	-0.0320453801359103	0.0193276555353123	1
COLO 205	D1 60	-0.0433445294882193	0.00135025340164673	-0.0687368281720342	-0.0179522308044045	1
MDA-MB-468	D1 60	-0.0676697928932639	0.0186854101285881	-0.121136031384368	-0.01420355440216	1
A498	SB	NA	NA	NA	NA	NA
SW-620	SB	NA	NA	NA	NA	NA
AGS	SB	NA	NA	NA	NA	NA
DU-145	SB	NA	NA	NA	NA	NA
UACC-62	SB	NA	NA	NA	NA	NA
SF-295	SB	NA	NA	NA	NA	NA
COLO 205	SB	NA	NA	NA	NA	NA
MDA-MB-468	SB	NA	NA	NA	NA	NA
A498	5Z SB	-0.0436631693976448	0.000619270797426688	-0.0673799219600549	-0.0199464168352346	0.847162450879709
SW-620	5Z SB	-0.00634896537302292	0.611794195434282	-0.0314490772644504	0.0187511465184046	1
AGS	5Z SB	-0.0389270402908683	0.0901295832442342	-0.0845550582236412	0.00670097764190456	1
DU-145	5Z SB	-0.0802877491415929	3.78843139268754e-08	-0.102492671215378	-0.0580828270678074	5.18257414519656e-05
UACC-62	5Z SB	-0.0819037918058733	5.35942564981639e-10	-0.102142290808688	-0.0616652928030589	7.33169428894882e-07
SF-295	5Z SB	-0.0258992410538741	0.0158616279953367	-0.046670643904219	-0.00512783820352925	1
COLO 205	5Z SB	-0.0560490231949212	4.08735507693866e-06	-0.0772270080145874	-0.034871038375255	0.00559150174525209
MDA-MB-468	5Z SB	0.0185169199710532	0.336052893100805	-0.0227017171485519	0.0597355570906584	1
A498	AK SB	-0.0263662352167879	0.106494833836493	-0.0586421063100068	0.00590963587643113	1
SW-620	AK SB	0.0212758483362685	0.145928824112205	-0.00772919294727627	0.0502808896198132	1
AGS	AK SB	-0.0550841854813504	0.046865455177355	-0.109322714684755	-0.000845656277945338	1
DU-145	AK SB	-0.0204835559784339	0.28574933803045	-0.0590045268234959	0.018037414866628	1
UACC-62	AK SB	-0.0414170305782001	0.128087897981991	-0.0953000992235694	0.0124660380671692	1
SF-295	AK SB	-0.0120398739133173	0.470306072841084	-0.0454419646051379	0.0213622167785032	1
COLO 205	AK SB	-0.0104618064167719	0.524651732857161	-0.0434246758065922	0.0225010629730483	1
MDA-MB-468	AK SB	0.0739631647819701	0.0077730707746995	0.0248693214724541	0.123057008091486	1
A498	BI SB	0.00938385543501659	0.420220421397245	-0.013915320632512	0.0326830315025452	1
SW-620	BI SB	0.0237789353879453	0.0796621039929065	-0.00294762230972511	0.0505054930856158	1
AGS	BI SB	0.0604123930893408	0.0120809331916641	0.0148351000198059	0.105989686158876	1
DU-145	BI SB	-0.00795802557076957	0.507392149829148	-0.0322064007787668	0.0162903496372277	1
UACC-62	BI SB	-0.000331376847492119	0.978270952883294	-0.0247832228496654	0.0241204691546812	1
SF-295	BI SB	0.017135441184485	0.156604941038869	-0.00685999120580281	0.0411308735747728	1
COLO 205	BI SB	0.00481892088972407	0.552881934424512	-0.0114636109557037	0.0211014527351518	1
MDA-MB-468	BI SB	0.0651398918517584	0.00125700829372978	0.0332342183011707	0.0970455654023461	1
A498	CT SB	0.043406683187682	0.0130534324109273	0.00965618176032912	0.0771571846150348	1
SW-620	CT SB	0.0882846118885905	2.05728016645964e-08	0.0628212977115163	0.113747926065665	2.81435926771678e-05
AGS	CT SB	0.138683548697205	3.39400212975396e-05	0.0847739701881813	0.192593127206228	0.0464299491350342
DU-145	CT SB	-0.0175978246613762	0.189274077617341	-0.044371338904744	0.00917568958199155	1
UACC-62	CT SB	0.045721257620741	0.00828145603144691	0.012479064068247	0.0789634511732349	1
SF-295	CT SB	0.0692790541645007	6.70499482412906e-05	0.0378798408137378	0.100678267515264	0.0917243291940856
COLO 205	CT SB	0.0848456594857472	1.06871587270446e-08	0.0610783566510331	0.108612962320461	1.46200331385971e-05
MDA-MB-468	CT SB	0.0487516876105856	0.147425784968776	-0.0208278122928246	0.118331187513996	1
A498	PD SB	0.0357505756280526	0.0411545204514255	0.001509882625226	0.0699912686308792	1
SW-620	PD SB	0.160109243720502	1.55711991345018e-11	0.125551511867584	0.19466697557342	2.13014004159984e-08
AGS	PD SB	0.00128594438341745	0.881512424905778	-0.0165303102372178	0.0191021990040527	1
DU-145	PD SB	0.0945063325816034	2.8938403190907e-07	0.0653417224619749	0.123670942701232	0.000395877355651607
UACC-62	PD SB	0.00562587674792844	0.562206226870152	-0.0138405466952656	0.0250923001911225	1
SF-295	PD SB	0.123620660920039	1.14687286717372e-07	0.0849845899467695	0.162256731893309	0.000156892208229365
COLO 205	PD SB	0.0309514975729962	0.00385788042347676	0.0105771602295289	0.0513258349164634	1
MDA-MB-468	PD SB	0.124563434153853	0.000483256052158616	0.0715613025407388	0.177565565766966	0.661094279352987
A498	PI SB	0.0203600364775304	0.0753703652143073	-0.00218160474584555	0.0429016777009063	1
SW-620	PI SB	0.0909031753415619	1.12193092592627e-05	0.0543838841467448	0.127422466536379	0.0153480150666714
AGS	PI SB	0.0440130672715151	0.0180130132871712	0.00842787410504973	0.0795982604379804	1
DU-145	PI SB	-0.0200546782387899	0.0738823437074607	-0.0421735414878339	0.00206418501025409	1
UACC-62	PI SB	0.0240533888021275	0.0719818230185093	-0.00225309619264109	0.0503598737968961	1
SF-295	PI SB	0.0284964187474506	0.0715938225042203	-0.00262492625988355	0.0596177637547848	1
COLO 205	PI SB	0.0367932008405465	2.65809952124224e-07	0.0248063435389305	0.0487800581421624	0.000363628014505939
MDA-MB-468	PI SB	0.0385420726573747	0.0154006706073246	0.00930344921408001	0.0677806961006694	1
A498	PK SB	0.0246959304831904	0.0429711247843398	0.000821386554137508	0.0485704744122432	1
SW-620	PK SB	0.0474814314740457	6.61087329921383e-05	0.02598358577844	0.0689792771696514	0.0904367467332452
AGS	PK SB	0.0377941793284135	0.00488197708858472	0.0129529803129623	0.0626353783438646	1
DU-145	PK SB	0.0196736797879466	0.149437159901656	-0.00749846489442292	0.0468458244703161	1
UACC-62	PK SB	0.0534070569951464	0.00244500068928641	0.0200681684380527	0.0867459455522402	1
SF-295	PK SB	0.0278377750470012	0.00757480028954594	0.00784731704549726	0.0478282330485051	1
COLO 205	PK SB	0.0478238841732978	0.013125706859173	0.0106069051335198	0.0850408632130757	1
MDA-MB-468	PK SB	0.0580041833438407	0.0250556695014993	0.00911016599287636	0.106898200694805	1
A498	JN SB	0.048479206533604	0.000536285277122539	0.02248994384521	0.0744684692219981	0.733638259103633
SW-620	JN SB	0.0664854747350508	6.55259456463597e-06	0.0406473129449605	0.0923236365251411	0.00896394936442201
AGS	JN SB	0.0513032626430737	8.24418859392926e-09	0.0402606700585116	0.0623458552276359	1.12780499964952e-05
DU-145	JN SB	0.037563821749322	0.00065556666026043	0.0174376579205521	0.0576899855780918	0.896815191236268
UACC-62	JN SB	0.0316735789256623	9.82875889328726e-05	0.0169065251667194	0.0464406326846052	0.13445742166017
SF-295	JN SB	0.0931374638797866	1.17255051355678e-08	0.0669404840089832	0.11933444375059	1.60404910254568e-05
COLO 205	JN SB	0.0118522362042058	0.499336597961527	-0.0233049182335782	0.0470093906419898	1
MDA-MB-468	JN SB	0.0872547078924284	0.038909826875884	0.00553217467173437	0.168977241113122	1
A498	D1 SB	0.0459049486066706	0.000701352389754188	0.0206808353625722	0.0711290618507689	0.959450069183729
SW-620	D1 SB	0.0634331948864084	2.99267626310164e-06	0.039895431722957	0.0869709580498597	0.00409398112792304
AGS	D1 SB	0.0654259401255521	2.4456647161922e-10	0.0540533293485497	0.0767985509025545	3.34566933175093e-07
DU-145	D1 SB	0.0594217909485251	7.71184474501828e-06	0.0370345864711942	0.0818089954258559	0.010549803611185
UACC-62	D1 SB	0.0227727313037404	0.0502692901941798	-2.80908247089794e-05	0.0455735534321897	1
SF-295	D1 SB	0.081920654576768	5.23075316107952e-10	0.0616976551025144	0.102143654051022	7.15567032435679e-07
COLO 205	D1 SB	0.0657611709461558	2.36483636418951e-11	0.0513473825022207	0.0801749593900909	3.23509614621125e-08
MDA-MB-468	D1 SB	0.0600317587203401	0.00349875137256806	0.0254088415079924	0.0946546759326878	1
A498	60 SB	0.0629760981096805	1.99281195230973e-06	0.040141839628744	0.0858103565906169	0.00272616675075971
SW-620	60 SB	0.119722899736922	1.07900798501741e-08	0.0861714839221621	0.153274315551682	1.47608292350382e-05
AGS	60 SB	0.11279102574307	2.83099798886102e-08	0.0865376032734846	0.139044448212655	3.87280524876188e-05
DU-145	60 SB	0.0818885708653593	7.37780666952127e-07	0.0552264500627585	0.10855069166796	0.00100928395239051
UACC-62	60 SB	0.0609137775388823	6.15604229394508e-07	0.0401922124264796	0.0816353426512851	0.000842146585811687
SF-295	60 SB	0.0961744054537427	1.84370047546842e-08	0.0685720855284794	0.123776725379006	2.52218225044079e-05
COLO 205	60 SB	0.0730130053770821	9.12217390592164e-11	0.0561772572088835	0.0898487535452808	1.24791339033008e-07
MDA-MB-468	60 SB	0.0642652806361539	0.0178776503570109	0.0139653727893004	0.114565188483007	1
A498	RU	NA	NA	NA	NA	NA
SW-620	RU	NA	NA	NA	NA	NA
AGS	RU	NA	NA	NA	NA	NA
DU-145	RU	NA	NA	NA	NA	NA
UACC-62	RU	NA	NA	NA	NA	NA
SF-295	RU	NA	NA	NA	NA	NA
COLO 205	RU	NA	NA	NA	NA	NA
MDA-MB-468	RU	NA	NA	NA	NA	NA
A498	5Z RU	0.0440917152579841	0.00060646109696809	0.0201881721219935	0.0679952583939747	0.829638780652347
SW-620	5Z RU	0.0720014068411172	4.11084494910558e-07	0.0480172799777707	0.0959855337044636	0.000562363589037644
AGS	5Z RU	0.0487964169883538	0.00286980656027906	0.0181518498632517	0.0794409841134559	1
DU-145	5Z RU	0.00663264534069031	0.674467335511572	-0.0250674915888822	0.0383327822702628	1
UACC-62	5Z RU	0.043626927696356	0.000188679162960182	0.0222292942261279	0.0650245611665842	0.258113094929528
SF-295	5Z RU	0.0605519151387437	1.02602677788905e-07	0.0417287643046916	0.0793750659727957	0.000140360463215223
COLO 205	5Z RU	0.0289407762624528	0.00177161525754798	0.0114991768403252	0.0463823756845804	1
MDA-MB-468	5Z RU	0.0955055494829464	0.0185586872922751	0.0201559933690647	0.170855105596828	1
A498	AK RU	-0.0500834101676124	0.0154856387376368	-0.0900945824156707	-0.010072237919554	1
SW-620	AK RU	0.00949390253095719	0.353099789286034	-0.0109391982712159	0.0299270033331303	1
AGS	AK RU	-0.0539652259119052	0.125646561065485	-0.1239540408353	0.0160235890114899	1
DU-145	AK RU	-0.0366138900925603	0.0679297002937142	-0.0760571750233539	0.0028293948382334	1
UACC-62	AK RU	-0.0494679797646983	0.0330075972646452	-0.0947338320168157	-0.00420212751258076	1
SF-295	AK RU	-0.0134611961556127	0.445859137314725	-0.0488157618446261	0.0218933695334008	1
COLO 205	AK RU	-0.0426138155999115	0.0286336823597049	-0.0805397632735906	-0.00468786792623252	1
MDA-MB-468	AK RU	0.0370716006960525	0.188927371003212	-0.0219301368889665	0.0960733382810716	1
A498	BI RU	0.0690528532283708	3.37429320246034e-06	0.043251579781097	0.0948541266756445	0.00461603310096574
SW-620	BI RU	0.0288733585047704	0.0140226154524212	0.00616985836318093	0.0515768586463598	1
AGS	BI RU	0.0628872995706647	0.0735945378278534	-0.00639973027412371	0.132174329415453	1
DU-145	BI RU	0.0850291915735497	4.61972912448258e-08	0.0595780324304986	0.110480350716601	6.31978944229217e-05
UACC-62	BI RU	0.0195767426632091	0.0260516309388943	0.00246134049150896	0.0366921448349092	1
SF-295	BI RU	0.083445873342919	4.24550615702363e-10	0.0630170320095354	0.103874714676303	5.80785242280832e-07
COLO 205	BI RU	0.0323628238521816	0.00120392715610934	0.0136232072956629	0.0511024404087003	1
MDA-MB-468	BI RU	0.051373299501436	0.111844327388351	-0.0145689630488243	0.117315562051696	1
A498	CT RU	0.11165692570005	2.67740023544903e-09	0.0821863769327224	0.141127474467377	3.66268352209427e-06
SW-620	CT RU	0.0229061747828639	0.0176633430441405	0.00420608510813631	0.0416062644575915	1
AGS	CT RU	0.146703038485086	9.84281606791707e-06	0.0905226306980267	0.202883446272145	0.0134649723809106
DU-145	CT RU	0.0751301095907946	1.19359683257739e-05	0.0448294674312332	0.105430751750356	0.0163284046696587
UACC-62	CT RU	0.0463659319479055	0.00133324345394366	0.0192387866672204	0.0734930772285905	1
SF-295	CT RU	0.120144961859996	6.79551324111596e-09	0.0871486773323442	0.153141246387647	9.29626211384663e-06
COLO 205	CT RU	0.0913215840323325	2.52776023111242e-09	0.067276420520805	0.11536674754386	3.45797599616179e-06
MDA-MB-468	CT RU	-0.0221094933722771	0.2930431830008	-0.0668974615425304	0.0226784747979762	1
A498	PD RU	0.0358086125084544	0.137922709142484	-0.0120106392023414	0.0836278642192501	1
SW-620	PD RU	0.116659711802828	5.49106561728733e-10	0.0878049834348817	0.145514440170774	7.51177776444906e-07
AGS	PD RU	0.0659080200239354	3.00610921235738e-07	0.0455253261170756	0.0862907139307951	0.00041123574025049
DU-145	PD RU	0.150057584771178	1.52954619276593e-09	0.11136419547187	0.188750974070486	2.09241919170379e-06
UACC-62	PD RU	0.0548684749343916	0.0011525956499199	0.0232355741804996	0.0865013756882837	1
SF-295	PD RU	0.124814767393713	1.98752578755452e-11	0.0976323210134042	0.151997213774022	2.71893527737459e-08
COLO 205	PD RU	0.055315448077032	2.9667471169516e-07	0.0371939209786202	0.0734369751754438	0.000405851005598978
MDA-MB-468	PD RU	0.0242756537777365	0.56262756634487	-0.0670878920074102	0.115639199562883	1
A498	PI RU	0.0586781796969684	0.00219372472862045	0.0224872239597772	0.0948691354341596	1
SW-620	PI RU	0.0437463633674578	0.0281599662383777	0.00493614096618693	0.0825565857687286	1
