cell_line	drugcombo	mean.bliss.estimate	p.value	conf.int.low	conf.int.high	p.value.bonferroni
A498	5Z	NA	NA	NA	NA	NA
SW-620	5Z	NA	NA	NA	NA	NA
AGS	5Z	NA	NA	NA	NA	NA
DU-145	5Z	NA	NA	NA	NA	NA
UACC-62	5Z	NA	NA	NA	NA	NA
SF-295	5Z	NA	NA	NA	NA	NA
COLO 205	5Z	NA	NA	NA	NA	NA
MDA-MB-468	5Z	NA	NA	NA	NA	NA
SF-295	BI CT	0.0834522299188343	5.28194687726401e-07	0.0552903060707441	0.111614153766924	0.000722570332809716
COLO 205	BI CT	0.00123525488300257	0.907829037687856	-0.0202055614723899	0.022676071238395	1
MDA-MB-468	BI CT	0.0687975751873092	0.0606142149344913	-0.00378758736996812	0.141382737744586	1
A498	PD	NA	NA	NA	NA	NA
SW-620	PD	NA	NA	NA	NA	NA
AGS	PD	NA	NA	NA	NA	NA
DU-145	PD	NA	NA	NA	NA	NA
UACC-62	PD	NA	NA	NA	NA	NA
SF-295	PD	NA	NA	NA	NA	NA
COLO 205	PD	NA	NA	NA	NA	NA
MDA-MB-468	PD	NA	NA	NA	NA	NA
A498	5Z PD	0.0772184739695304	7.49939059924479e-05	0.0419336269411469	0.112503320997914	0.102591663397669
SW-620	5Z PD	0.0684060563697471	7.8131540675852e-08	0.047417276797826	0.0893948359416682	0.000106883947644566
AGS	5Z PD	0.139641474527222	6.6393117813969e-13	0.116143629869552	0.163139319184891	9.08257851695095e-10
DU-145	5Z PD	0.0130367932041923	0.484073557124935	-0.0242869053402762	0.0503604917486607	1
UACC-62	5Z PD	0.104852608152936	6.06236306252795e-12	0.0829826598612053	0.126722556444667	8.29331266953823e-09
SF-295	5Z PD	0.0121729834518378	0.364411723793214	-0.014657057421613	0.0390030243252886	1
COLO 205	5Z PD	0.115577909071912	4.13094286416895e-14	0.0952656767695987	0.135890141374225	5.65112983818312e-11
MDA-MB-468	5Z PD	0.00291650725817993	0.834343095356459	-0.0277290821485258	0.0335620966648856	1
A498	AK PD	-0.170763682362673	0.000166355654666815	-0.253680476231432	-0.0878468884939137	0.227574535584203
SW-620	AK PD	0.00769250546938522	0.208669043709375	-0.00447874321970772	0.0198637541584782	1
AGS	AK PD	-0.0527333797941358	0.00070673189264806	-0.081195772349704	-0.0242709872385675	0.966809229142546
DU-145	AK PD	0.0397294489086188	0.0245124186982821	0.00538293307989627	0.0740759647373413	1
UACC-62	AK PD	-0.0286972736121042	0.00030938190076378	-0.0433584684386336	-0.0140360787855748	0.423234440244852
SF-295	AK PD	0.00853653569544726	0.720706987061543	-0.039411923760662	0.0564849951515565	1
COLO 205	AK PD	-0.0620278559203722	0.000217139673906688	-0.0927984214201668	-0.0312572904205776	0.29704707390435
MDA-MB-468	AK PD	-0.0811910818269388	0.296794249340324	-0.247029153172321	0.0846469895184433	1
A498	BI PD	-0.101118608610933	0.00439590728175545	-0.168754066407788	-0.0334831508140775	1
SW-620	BI PD	0.0123041557850732	0.01253670019548	0.00279670174195797	0.0218116098281884	1
AGS	BI PD	0.0106285680616132	0.23791025239036	-0.00740978857253319	0.0286669246957595	1
DU-145	BI PD	0.0698881249584749	1.2809579389982e-07	0.0479278386181556	0.0918484112987942	0.000175235046054954
UACC-62	BI PD	0.000652556656608614	0.929294794561686	-0.0141269874438083	0.0154321007570255	1
SF-295	BI PD	0.0565597650937351	5.84790949957353e-06	0.0347293551944162	0.078390174993054	0.00799994019541658
COLO 205	BI PD	0.00392137617307134	0.57911345575094	-0.0102585997518347	0.0181013520979774	1
MDA-MB-468	BI PD	0.0203389205043865	0.1509071327612	-0.00897034405428584	0.0496481850630588	1
A498	CT PD	0.0584789655510627	0.00735806557126052	0.016651922101473	0.100306009000652	1
SW-620	CT PD	0.0785798296568536	5.42019300342564e-08	0.0548827125191901	0.102276946794517	7.41482402868628e-05
AGS	CT PD	0.103865475737106	1.84230666838599e-10	0.0816291417242202	0.126101809749992	2.52027552235203e-07
DU-145	CT PD	0.115680594391245	6.0994432286113e-11	0.0894110699014524	0.141950118881037	8.34403833674026e-08
UACC-62	CT PD	0.0622733309878884	6.36942161960408e-07	0.0410512561242534	0.0834954058515233	0.000871336877561838
SF-295	CT PD	0.0893284064143157	3.47976006910348e-05	0.0506738560049963	0.127982956823635	0.0476031177453356
COLO 205	CT PD	0.0432038468107444	0.000627493500894489	0.0197080456980557	0.0666996479234331	0.858411109223661
MDA-MB-468	CT PD	0.103247863599317	6.41601563444899e-06	0.0781845340361974	0.128311193162438	0.00877710938792622
A498	PI	NA	NA	NA	NA	NA
SW-620	PI	NA	NA	NA	NA	NA
AGS	PI	NA	NA	NA	NA	NA
DU-145	PI	NA	NA	NA	NA	NA
UACC-62	PI	NA	NA	NA	NA	NA
SF-295	PI	NA	NA	NA	NA	NA
COLO 205	PI	NA	NA	NA	NA	NA
MDA-MB-468	PI	NA	NA	NA	NA	NA
A498	5Z PI	-0.00580891987377211	0.640224017949582	-0.0307520522582519	0.0191342125107077	1
SW-620	5Z PI	-0.0329796340738039	0.0221522002506904	-0.0609753758104552	-0.00498389233715273	1
AGS	5Z PI	-0.000172001630292998	0.993897572485514	-0.0457719593952253	0.0454279561346394	1
DU-145	5Z PI	-0.0150186317967499	0.396821089925645	-0.0504762499657757	0.0204389863722759	1
UACC-62	5Z PI	-0.0503169209315332	0.00488571406331273	-0.0844202283576255	-0.0162136135054408	1
SF-295	5Z PI	-0.0421890464347891	0.00889793487894089	-0.0731760069311516	-0.0112020859384266	1
COLO 205	5Z PI	-0.00486090842095482	0.607423557343665	-0.0238438929818011	0.0141220761398914	1
MDA-MB-468	5Z PI	0.00887412393248471	0.709631702260819	-0.0433539185394695	0.0611021664044389	1
A498	AK PI	-0.0750064158985382	0.0307082015425709	-0.142669799850654	-0.0073430319464222	1
SW-620	AK PI	-0.0790361605169567	5.77998068800506e-05	-0.114475911584209	-0.0435964094497039	0.0790701358119093
AGS	AK PI	-0.00738475094613756	0.782879793989243	-0.0616869360689832	0.0469174341767081	1
DU-145	AK PI	-0.0918243987656878	1.02028421470408e-07	-0.120361181780328	-0.0632876157510482	0.000139574880571518
UACC-62	AK PI	-0.0759415343399791	0.020967946374524	-0.139785089153336	-0.0120979795266217	1
SF-295	AK PI	-0.113892262239832	0.000278103187690393	-0.171558668300346	-0.0562258561793179	0.380445160760457
COLO 205	AK PI	-0.117908844795794	0.00118303209346475	-0.186063662355379	-0.0497540272362096	1
MDA-MB-468	AK PI	-0.175898020909657	0.0880630194078934	-0.383920044588609	0.0321240027692948	1
A498	BI PI	-0.139391237032365	1.48846476148865e-05	-0.196404765282364	-0.0823777087823661	0.0203621979371647
SW-620	BI PI	-0.132501893636491	1.47549387843542e-08	-0.170153032224858	-0.0948507550481243	2.01847562569965e-05
AGS	BI PI	-0.0940144454079787	7.76120669393268e-07	-0.124715585122591	-0.0633133056933668	0.00106173307572999
DU-145	BI PI	-0.113008505399738	7.13014465118682e-11	-0.138823434972925	-0.0871935758265511	9.75403788282357e-08
UACC-62	BI PI	-0.185789207480549	4.18199556134887e-06	-0.25608364924135	-0.115494765719748	0.00572096992792526
SF-295	BI PI	-0.15953968100821	2.13910504944198e-07	-0.210953197867018	-0.108126164149402	0.000292629570763662
COLO 205	BI PI	-0.108023810625521	2.15620747761813e-11	-0.131620245955939	-0.0844273752951024	2.9496918293816e-08
MDA-MB-468	BI PI	-0.166508016655807	0.0445410694613539	-0.327972482247732	-0.00504355106388248	1
A498	CT PI	-0.00903724690839516	0.562233249388682	-0.0403097217496563	0.0222352279328659	1
SW-620	CT PI	0.00210405775286577	0.878330314496736	-0.0255145395208123	0.0297226550265438	1
AGS	CT PI	0.0455046148000363	0.00123542769913771	0.0195061008190323	0.0715031287810403	1
DU-145	CT PI	0.0442441665476793	0.0129219940664698	0.00989644766401608	0.0785918854313426	1
UACC-62	CT PI	-0.0734560726455266	0.00284457750408863	-0.120104238177358	-0.0268079071136954	1
SF-295	CT PI	-0.0559366032249316	0.00651922472850146	-0.0952958272823536	-0.0165773791675096	1
COLO 205	CT PI	0.0208574916986927	0.0409985045073119	0.000897137214227803	0.0408178461831576	1
MDA-MB-468	CT PI	-0.0902641005986713	0.0371397676584575	-0.173823151584507	-0.00670504961283558	1
A498	PD PI	-0.0674335354521526	0.00629696116905299	-0.114663897443044	-0.0202031734612607	1
SW-620	PD PI	-0.0114319002289676	0.0446309350014562	-0.0225756401132701	-0.000288160344664997	1
AGS	PD PI	-0.039602826933044	0.00688717090540518	-0.0674437642035903	-0.0117618896624977	1
DU-145	PD PI	-0.0571583576589731	2.49687794686278e-05	-0.0813425323789141	-0.0329741829390321	0.0341572903130829
UACC-62	PD PI	-0.0573626400579734	6.0395631865475e-05	-0.083165282865835	-0.031559997250112	0.0826212243919698
SF-295	PD PI	-0.0123492509646556	0.528045347939102	-0.0515812979921191	0.0268827960628079	1
COLO 205	PD PI	0.0111284858124349	0.14573598961498	-0.00403535149841061	0.0262923231232803	1
MDA-MB-468	PD PI	-0.0843407098088741	0.111846975385454	-0.192600539275769	0.0239191196580208	1
A498	PK	NA	NA	NA	NA	NA
SW-620	PK	NA	NA	NA	NA	NA
AGS	PK	NA	NA	NA	NA	NA
DU-145	PK	NA	NA	NA	NA	NA
UACC-62	PK	NA	NA	NA	NA	NA
SF-295	PK	NA	NA	NA	NA	NA
COLO 205	PK	NA	NA	NA	NA	NA
MDA-MB-468	PK	NA	NA	NA	NA	NA
A498	5Z PK	0.0234725008527034	0.0458813390370047	0.000451277064052797	0.0464937246413541	1
SW-620	5Z PK	0.030513932656937	0.000649403906317589	0.0138666380694395	0.0471612272444344	0.888384543842461
AGS	5Z PK	0.0709786466783422	0.000139505500778938	0.0378722075390933	0.104085085817591	0.190843525065588
DU-145	5Z PK	0.0201526035359171	0.159085182925155	-0.00824119621147404	0.0485464032833083	1
UACC-62	5Z PK	0.058090145769665	0.00828851553453578	0.0158499533423572	0.100330338196973	1
SF-295	5Z PK	0.0178725200220618	0.0271978055205032	0.00212065329825388	0.0336243867458698	1
COLO 205	5Z PK	0.0605335029783916	0.0013180157561011	0.0251588657044501	0.095908140252333	1
MDA-MB-468	5Z PK	0.0594506432951801	0.0227712088490547	0.0104045330261533	0.108496753564207	1
A498	AK PK	0.018921627863626	0.191114800615677	-0.00984617467887246	0.0476894304061245	1
SW-620	AK PK	0.0183381720328114	0.0239699286719657	0.00254914966118804	0.0341271944044348	1
AGS	AK PK	0.029623472498754	0.00561467933985911	0.00937161451422017	0.0498753304832878	1
DU-145	AK PK	0.0277920646922152	0.195790610034114	-0.0149178171811253	0.0705019465655556	1
UACC-62	AK PK	0.0250333300876211	0.0780427660439675	-0.00294517867612749	0.0530118388513698	1
SF-295	AK PK	0.0151220058023768	0.195966121951297	-0.00812629208040138	0.038370303685155	1
COLO 205	AK PK	0.0261466123183511	0.15510807232583	-0.0103317883189946	0.0626250129556968	1
MDA-MB-468	AK PK	0.0729906616934166	0.0636131655535184	-0.00510052668585061	0.151081850072684	1
A498	BI PK	0.0312755203127574	0.00210180734514744	0.0120760723101895	0.0504749683153253	1
SW-620	BI PK	0.045359859262872	2.20917131264872e-05	0.026323288032292	0.064396430493452	0.0302214635570345
AGS	BI PK	0.0313801804757708	0.0122007640195748	0.00737325703934505	0.0553871039121966	1
DU-145	BI PK	0.0166289566422651	0.141052139340638	-0.00575893126512817	0.0390168445496583	1
UACC-62	BI PK	0.0347458043207717	0.0145335425436202	0.00726914419153008	0.0622224644500134	1
SF-295	BI PK	0.0223875837348235	0.0124676882419217	0.00510331127063243	0.0396718561990146	1
COLO 205	BI PK	0.0403302524877115	0.0208470111692426	0.00645916000797069	0.0742013449674524	1
MDA-MB-468	BI PK	0.116726141260417	0.0607167929818895	-0.00648598747109784	0.239938269991933	1
A498	CT PK	0.0669228601151227	0.000132591403378313	0.0350001666823941	0.0988455535478514	0.181385039821532
SW-620	CT PK	0.0553056557263402	4.75787289216509e-06	0.0342204772925885	0.0763908341600919	0.00650877011648184
AGS	CT PK	0.055849918200943	0.00160292091307278	0.0230347481700318	0.0886650882318542	1
DU-145	CT PK	0.0623256695589573	0.0218252380038943	0.00955800536862765	0.115093333749287	1
UACC-62	CT PK	0.0894657521729551	0.00306308392327301	0.0321627987275496	0.146768705618361	1
SF-295	CT PK	0.05315343355655	0.00158158202837702	0.0215011544341444	0.0848057126789555	1
COLO 205	CT PK	0.0944712948495427	0.00912158572865091	0.0248376842328429	0.164104905466242	1
MDA-MB-468	CT PK	0.0774231084240461	0.0364245995384474	0.00609715153478445	0.148749065313308	1
